brand|model|name|price_from|credit_month|benefit|engine|transmission|drive|in_stock|url
Citroen|C4 Sedan|Citroen C4 Sedan|1794000|24477|455000|1.6-1.6 л|5 MT, 6 AT|Передний|1|https://skayavto.ru/catalog/citroen/c4-sedan
Citroen|Jumpy|Citroen Jumpy|2594900|35404|425000|1.6-2 л|5MT, 6AT, 6MT|Передний, Полный|1|https://skayavto.ru/catalog/citroen/jumpy
Citroen|C5 Aircross|Citroen C5 Aircross|3574000|48763|425000|1.6 л|8AT|Передний|1|https://skayavto.ru/catalog/citroen/c5-aircross
Citroen|C5 X|Citroen C5 X|3974000|54220|325000|1.6 л|8AT|Передний|1|https://skayavto.ru/catalog/citroen/c5
Citroen|SpaceTourer XL I Рестайлинг|Citroen SpaceTourer XL I Рестайлинг|5925000|80840|75000|2 л|AT|Передний|1|https://skayavto.ru/catalog/citroen/spacetourer-xl-restyling
Dacia|Bigster|Dacia Bigster|||75000|1.2 л|MT|Полный|1|https://skayavto.ru/catalog/dacia/bigster
Datsun|ON-DO|Datsun ON-DO|520000|7095|170000|1.6 л|4 AT, 5 MT|Передний|1|https://skayavto.ru/catalog/datsun/on-do
Datsun|MI-DO|Datsun MI-DO|550000|7504|170000|1.6 л|4 AT, 5 MT|Передний|1|https://skayavto.ru/catalog/datsun/mi-do
Deepal|G318|Deepal G318|5575000|76064|75000|1.5 л|AT|Полный|1|https://skayavto.ru/catalog/deepal/g318
Dongfeng|AX7|Dongfeng AX7|1182900|16139|415000|2 л|6 AT|Передний|1|https://skayavto.ru/catalog/dongfeng/ax7
Dongfeng|Aeolus AX7 Plus|Dongfeng Aeolus AX7 Plus|1182900|16139||1.5-1.5 л|AMT, MT|Передний|0|https://skayavto.ru/catalog/dongfeng/dongfeng-aeolus-ax7-pius
Dongfeng|Fukang ES600|Dongfeng Fukang ES600|1182900|16139||0 л|AT|Передний|0|https://skayavto.ru/catalog/dongfeng/fukang-es600
Dongfeng|580|Dongfeng 580|1324000|18064|575000|1.5 л|CVT|Передний|1|https://skayavto.ru/catalog/dongfeng/580
Dongfeng|Captain-T|Dongfeng Captain-T|1345000|18351|345000|2.2 л|5MT|Задний|1|https://skayavto.ru/catalog/dongfeng/captain-t
Dongfeng|DFSK 500|Dongfeng DFSK 500|1625000|22171|274000|1.5 л|CVT|Передний|1|https://skayavto.ru/catalog/dongfeng/dfsk-500
Dongfeng|DFSK ix5|Dongfeng DFSK ix5|1635000|22308|355000|1.5 л|CVT|Передний|1|https://skayavto.ru/catalog/dongfeng/dfsk-ix5
